event,winner,loser,margin,winner_pickup_points,loser_pickup_points,winner_dropped_counterfactual_points,loser_dropped_counterfactual_points,winner_replacement_delta,loser_replacement_delta,replacement_edge,winner_replacement_players,loser_replacement_players
22,ChabosSpurs@Law,*Saka It To Me Baby,5,13,16,4,13,9,3,6,Vicario 1 vs Petrović 2 (-1); Yeremy 9 vs Ndoye 1 (+8); Grealish 3 vs Mac Allister 1 (+2),Roefs 2 vs Ramsdale 0 (+2); Romero 8 vs Alderete 1 (+7); Cash 2 vs Collins 1 (+1); O'Reilly -1 vs O'Brien 9 (-10); Konaté 2 vs Lewis-Skelly 0 (+2); McGinn 1 vs L.Paquetá 0 (+1); Tielemans 2 vs Bernardo 2 (+0)
23,Into the WOODwork*,eze as u like b*%chs,15,33,11,23,19,10,-8,18,James 6 vs Mosquera 0 (+6); Matheus N. 11 vs Khusanov 6 (+5); Lewis-Potter 1 vs Mykolenko 2 (-1); Stach 8 vs Garnacho 0 (+8); Ødegaard 4 vs Trossard 2 (+2); E.Le Fée 2 vs Xhaka 0 (+2); Doku 1 vs Estêvão 13 (-12),Mukiele 4 vs Romero 11 (-7); Ballard 2 vs Murillo 8 (-6); Anderson 5 vs Kluivert 0 (+5)
23,*Saka It To Me Baby,Amorim de mi vida,15,26,24,9,47,17,-23,40,Roefs 1 vs Ramsdale 0 (+1); Romero 11 vs Alderete 1 (+10); O'Reilly 6 vs O'Brien 4 (+2); Cash 6 vs Collins 1 (+5); Zubimendi 1 vs Tielemans 3 (-2); Damsgaard 1 vs McGinn 0 (+1),Spence 1 vs Calafiori 0 (+1); Senesi 3 vs Schär 0 (+3); Collins 1 vs Clyne 0 (+1); Garner 2 vs Stach 8 (-6); Trossard 2 vs Estêvão 13 (-11); Smith Rowe 2 vs Ayari 11 (-9); Enzo 8 vs Wilson 10 (-2); Gravenberch 1 vs Tonali 4 (-3); Taty 4 vs Wilson 1 (+3)
23,Sue-nited FC*,Grand-Larseny,13,42,4,15,9,27,-5,32,Donnarumma 8 vs Perri 0 (+8); Frimpong 0 vs Gusto 1 (-1); Dorgu 8 vs Kayode 1 (+7); O'Brien 4 vs Botman 3 (+1); Hume 0 vs Konsa 6 (-6); Wilson 10 vs J.Murphy 0 (+10); Wirtz 2 vs Johnson 2 (+0); Minteh 1 vs Garner 2 (-1); Igor Jesus 9 vs Zirkzee 0 (+9),Van Hecke 1 vs Dorgu 8 (-7); Casemiro 2 vs Kudus 0 (+2); Wilson 1 vs Isidor 1 (+0)
24,Sue-nited FC*,Amorim de mi vida,2,39,30,13,15,26,15,11,Donnarumma 2 vs Perri 0 (+2); B.Badiashile 0 vs O'Brien 5 (-5); Hume 5 vs Konsa 2 (+3); O.Dango 8 vs Damsgaard 0 (+8); Ayari 6 vs Minteh 1 (+5); Wirtz 12 vs Johnson 2 (+10); Wilson 2 vs J.Murphy 1 (+1); Pablo 2 vs Kolo Muani 2 (+0); Igor Jesus 2 vs Zirkzee 0 (+2),Senesi 8 vs Schär 0 (+8); Collins 1 vs Clyne 0 (+1); Garner 4 vs Stach 2 (+2); Trossard 3 vs Estêvão 0 (+3); Smith Rowe 2 vs Ayari 6 (-4); Enzo 8 vs Wilson 2 (+6); Buendía 2 vs Gravenberch 4 (-2); Taty 2 vs Wilson 1 (+1)
24,eze as u like b*%chs,Bowen Arrows,5,29,20,3,3,26,17,9,Ballard 9 vs Murillo 2 (+7); Mukiele 9 vs Romero 0 (+9); J.Palhinha 4 vs Hudson-Odoi 1 (+3); Anderson 7 vs Kluivert 0 (+7),Wan-Bissaka 7 vs Frimpong 0 (+7); Alderete 6 vs Tete 0 (+6); Robinson 1 vs Aït-Nouri 2 (-1); Xavi 6 vs Georginio 1 (+5)
25,eze as u like b*%chs,**Cunha Believe it?!,9,11,7,-1,4,12,3,9,Keane 4 vs Collins 0 (+4); Mukiele 1 vs Romero -3 (+4); Ballard 1 vs Murillo 0 (+1); Anderson 4 vs Kluivert 0 (+4); J.Palhinha 1 vs Hudson-Odoi 2 (-1),Andersen 1 vs Pau 0 (+1); Thiaw 1 vs Senesi 2 (-1); J.Gomes 2 vs Marmoush 2 (+0); Woltemade 1 vs Piroe 0 (+1); Mané 2 vs Wood 0 (+2)
26,Into the WOODwork*,Santa’s reijnders,3,16,9,4,13,12,-4,16,Matheus N. 4 vs Khusanov 1 (+3); Martinez 2 vs Romero 0 (+2); O'Brien -2 vs Gvardiol 0 (-2); Scott 4 vs Stach 0 (+4); Dewsbury-Hall 2 vs E.Le Fée 2 (+0); Zubimendi 6 vs Ødegaard 1 (+5); G.Jesus 0 vs Wood 0 (+0),Dalot 1 vs N.Williams 8 (-7); Reijnders 1 vs Marmoush 1 (+0); Estêvão 3 vs Damsgaard 1 (+2); Cherki 1 vs Reijnders 1 (+0); Kroupi.Jr 1 vs Kolo Muani 1 (+0); Barry 2 vs Foster 1 (+1)
27,*Saka It To Me Baby,**Cunha Believe it?!,18,47,21,3,13,44,8,36,Lammens 9 vs Johnstone 0 (+9); Konaté 9 vs Lewis-Skelly 0 (+9); Cash 2 vs Collins 1 (+1); Konsa 7 vs Romero 0 (+7); O'Reilly 17 vs O'Brien 0 (+17); Summerville 3 vs Zubimendi 2 (+1),Mitchell 11 vs A.Jimenez 6 (+5); Hill 6 vs Andersen 4 (+2); Caicedo 2 vs J.Gomes 1 (+1); Schade 1 vs O.Dango 2 (-1); Woltemade 1 vs Piroe 0 (+1)
28,Grand-Larseny,eze as u like b*%chs,8,24,17,4,7,20,10,10,Petrović 3 vs Bayindir 0 (+3); Van Hecke 4 vs Dorgu 0 (+4); Shaw 1 vs Diakité 0 (+1); Casemiro 4 vs Kudus 0 (+4); Gravenberch 5 vs Caicedo 4 (+1); Tavernier 7 vs Savinho 0 (+7),Keane 1 vs Collins 0 (+1); Rúben 9 vs Truffert 4 (+5); Ballard 4 vs Murillo 1 (+3); Anderson 1 vs Kluivert 0 (+1); Stach 2 vs J.Palhinha 2 (+0)
30,Sue-nited FC*,Santa’s reijnders,22,49,15,23,12,26,3,23,Donnarumma 2 vs Perri 0 (+2); Frimpong 6 vs Gusto 1 (+5); Andersen 7 vs Maatsen 1 (+6); Senesi 10 vs Fofana 3 (+7); A.Jimenez 1 vs Struijk 8 (-7); J.Gomes 7 vs Adli 1 (+6); Wilson 3 vs J.Murphy 3 (+0); Wirtz 3 vs Johnson 2 (+1); O.Dango 8 vs Damsgaard 2 (+6); Taty 2 vs Igor Jesus 2 (+0),Murillo 6 vs Alleyne 0 (+6); Dalot 2 vs N.Williams 5 (-3); Iwobi 3 vs Estêvão 0 (+3); Cherki 1 vs Reijnders 1 (+0); Kroupi.Jr 2 vs Kolo Muani 4 (-2); Barry 1 vs Foster 2 (-1)
30,Grand-Larseny,Amorim de mi vida,12,30,34,1,25,29,9,20,Petrović 6 vs Bayindir 0 (+6); Shaw 4 vs Diakité 0 (+4); Van Hecke 9 vs Dorgu 0 (+9); Casemiro 6 vs Kudus 0 (+6); Tavernier 3 vs Savinho 0 (+3); Gravenberch 2 vs Caicedo 1 (+1),Truffert 11 vs Spence 4 (+7); Van den Berg 1 vs Digne 4 (-3); Collins 0 vs Clyne 0 (+0); Garner 4 vs Stach 5 (-1); Enzo 2 vs Wilson 3 (-1); Damsgaard 2 vs Xhaka 1 (+1); Bernardo 9 vs Mac Allister 8 (+1); Šeško 5 vs Danns 0 (+5)
31,Grand-Larseny,Santa’s reijnders,6,17,17,3,24,14,-7,21,Petrović 2 vs Bayindir 0 (+2); Van Hecke 4 vs Dorgu 0 (+4); Shaw 3 vs Diakité 0 (+3); Casemiro 1 vs Kudus 0 (+1); Gravenberch 3 vs Caicedo 2 (+1); Tavernier 2 vs Savinho 0 (+2); Richarlison 2 vs Wilson 1 (+1),Murillo 8 vs Alleyne 0 (+8); Dalot 1 vs N.Williams 15 (-14); Iwobi 1 vs Estêvão 1 (+0); Cherki 0 vs Reijnders 0 (+0); Abraham 1 vs Calvert-Lewin 2 (-1); Kroupi.Jr 5 vs Kolo Muani 1 (+4); Barry 1 vs Foster 5 (-4)
31,*Saka It To Me Baby,ChabosSpurs@Law,5,35,21,15,12,20,9,11,Lammens 2 vs Johnstone 0 (+2); Konsa 6 vs Romero 1 (+5); Pedro Porro 1 vs A.Jimenez 0 (+1); Ajer 0 vs Cash 6 (-6); Rodon 6 vs O'Brien 6 (+0); Souček 2 vs E.Le Fée 1 (+1); Mac Allister 1 vs Doku 0 (+1); McGinn 10 vs Zubimendi 0 (+10); Flemming 7 vs Wissa 1 (+6),Vicario 2 vs Petrović 2 (+0); Gusto 1 vs Hume 1 (+0); Kayode 6 vs Milenković 9 (-3); M.Fernandes 2 vs Yeremy 0 (+2); Anthony 2 vs Yeremy 0 (+2); Brobbey 8 vs Havertz 0 (+8)
31,Into the WOODwork*,Bowen Arrows,1,13,13,8,10,5,3,2,Bassey 2 vs Mitchell 0 (+2); James 0 vs Mosquera 0 (+0); Dewsbury-Hall 3 vs E.Le Fée 1 (+2); Igor Jesus 8 vs Flemming 7 (+1),Ramsdale 2 vs Verbruggen 3 (-1); Wan-Bissaka 0 vs Frimpong 0 (+0); Aina 6 vs Robinson 1 (+5); Hall 1 vs Robinson 1 (+0); Rayan 2 vs Iwobi 1 (+1); Minteh 1 vs Aaronson 3 (-2); Xavi 1 vs Georginio 1 (+0)
34,**Cunha Believe it?!,eze as u like b*%chs,11,24,10,2,2,22,8,14,Danso 5 vs Udogie 0 (+5); Canvot 3 vs Bijol 0 (+3); Disasi 3 vs Mosquera 0 (+3); Milenković 8 vs J.Timber 0 (+8); Schade 2 vs O.Dango 1 (+1); Sangaré 1 vs Scott 0 (+1); Armstrong 2 vs Woltemade 1 (+1),Keane 1 vs Collins 2 (-1); Mukiele 0 vs Romero 0 (+0); Ballard 0 vs Murillo 0 (+0); Anderson 9 vs Kluivert 0 (+9); Nmecha 0 vs Delap 0 (+0)
34,Santa’s reijnders,ChabosSpurs@Law,12,25,8,9,13,16,-5,21,Kinsky 6 vs A.Becker 0 (+6); Maguire 7 vs Cucurella 0 (+7); Diouf 2 vs Kerkez 1 (+1); A.Jimenez 0 vs Murillo 0 (+0); Dalot 4 vs N.Williams 5 (-1); Gakpo 2 vs Estêvão 0 (+2); Cherki 0 vs Reijnders 0 (+0); Pablo 2 vs Barry 2 (+0); Osula 2 vs Abraham 1 (+1),O'Brien 1 vs Calafiori 0 (+1); Kayode 1 vs Milenković 8 (-7); Cash 2 vs Chalobah 0 (+2); M.Fernandes 2 vs Yeremy 1 (+1); Brobbey 2 vs Havertz 4 (-2)
35,Amorim de mi vida,Bowen Arrows,7,41,32,5,4,36,28,8,Hermansen 2 vs Areola 0 (+2); Collins 6 vs Clyne 0 (+6); Van den Berg 6 vs Digne 0 (+6); Truffert 7 vs Spence 1 (+6); Cucurella 4 vs Gudmundsson 0 (+4); Enzo 2 vs Wilson 2 (+0); Trossard 7 vs Estêvão 0 (+7); Bernardo 2 vs Mac Allister 2 (+0); Šeško 5 vs Danns 0 (+5),Chalobah 1 vs Wan-Bissaka 1 (+0); Hall 1 vs Robinson 1 (+0); Alderete 4 vs Tete 0 (+4); Senesi 14 vs Aït-Nouri 0 (+14); E.Le Fée 4 vs Minteh 2 (+2); Rayan 8 vs Iwobi 0 (+8)
35,Santa’s reijnders,Into the WOODwork*,21,38,12,20,20,18,-8,26,Kinsky 2 vs A.Becker 0 (+2); Diouf 1 vs Kerkez 1 (+0); A.Jimenez 6 vs Murillo 0 (+6); Gakpo 6 vs Estêvão 0 (+6); Cherki 5 vs Reijnders 0 (+5); Aaronson 1 vs Gakpo 6 (-5); Pablo 2 vs Barry 11 (-9); Osula 9 vs Abraham 1 (+8); Kroupi.Jr 6 vs Kolo Muani 1 (+5),Matheus N. 1 vs Khusanov 3 (-2); Thiaw 2 vs Fofana 0 (+2); Zubimendi 1 vs Xhaka 9 (-8); Dewsbury-Hall 2 vs E.Le Fée 4 (-2); Wood 1 vs Armstrong 2 (-1); Igor Jesus 5 vs Flemming 2 (+3)
36,Amorim de mi vida,ChabosSpurs@Law,17,47,26,5,6,42,20,22,Cucurella 1 vs Gudmundsson 0 (+1); Truffert 9 vs Spence 1 (+8); Collins 1 vs Clyne 1 (+0); Foden 13 vs Onana 0 (+13); Enzo 8 vs Wilson 2 (+6); Bernardo 7 vs Mac Allister 1 (+6); Trossard 8 vs Estêvão 0 (+8),O'Brien 1 vs Calafiori 1 (+0); Kayode 1 vs Milenković 2 (-1); Cash 1 vs Chalobah 0 (+1); M.Fernandes 2 vs Yeremy 1 (+1); Anthony 7 vs Yeremy 1 (+6); Doku 12 vs Kudus 0 (+12); Brobbey 2 vs Havertz 1 (+1)
37,*Saka It To Me Baby,Into the WOODwork*,5,14,21,4,25,10,-4,14,Lammens 1 vs Johnstone 0 (+1); Lewis-Potter 1 vs Andersen 0 (+1); Burn 1 vs Mitchell 1 (+0); Mykolenko 1 vs Pedro Porro 0 (+1); Botman 4 vs Udogie 0 (+4); Jensen 2 vs Yeremy 1 (+1); Garner 1 vs Iwobi 2 (-1); Minteh 3 vs Mitoma 0 (+3),Thiaw 2 vs Fofana 2 (+0); Matheus N. 2 vs Khusanov 2 (+0); Calafiori 8 vs Mykolenko 1 (+7); Mainoo 4 vs Scott 4 (+0); Dewsbury-Hall 2 vs E.Le Fée 13 (-11); Awoniyi 1 vs Wood 2 (-1); Igor Jesus 2 vs Flemming 1 (+1)
37,Sue-nited FC*,ChabosSpurs@Law,17,29,17,14,20,15,-3,18,Verbruggen 2 vs Leno 2 (+0); Lewis-Skelly 1 vs Boscagli 0 (+1); Wilson 1 vs J.Murphy 1 (+0); Wirtz 1 vs Johnson 1 (+0); O.Dango 15 vs Damsgaard 2 (+13); Hinshelwood 3 vs Okafor 0 (+3); Taty 6 vs Havertz 8 (-2),Leno 2 vs Vicario 0 (+2); Cash 0 vs Chalobah 1 (-1); O'Brien 0 vs Calafiori 8 (-8); Kayode 0 vs Milenković 1 (-1); Doku 2 vs Kudus 0 (+2); M.Fernandes 4 vs Yeremy 1 (+3); Anthony 2 vs Yeremy 1 (+1); Brobbey 7 vs Havertz 8 (-1)
37,eze as u like b*%chs,Grand-Larseny,11,21,5,7,2,14,3,11,Keane 4 vs Collins 3 (+1); Mukiele 2 vs Romero 0 (+2); Anderson 12 vs Kluivert 0 (+12); Stach 3 vs J.Palhinha 4 (-1),Van Hecke 2 vs Dorgu 1 (+1); Casemiro 1 vs Kudus 0 (+1); Tavernier 2 vs Savinho 1 (+1)
38,Sue-nited FC*,Into the WOODwork*,15,30,9,16,15,14,-6,20,Verbruggen 2 vs Leno 6 (-4); Mavropanos 8 vs Gvardiol 1 (+7); Smith 2 vs Frimpong 1 (+1); Wilson 4 vs J.Murphy 1 (+3); Wirtz 1 vs Johnson 0 (+1); O.Dango 2 vs Damsgaard 1 (+1); Dowman 3 vs Hinshelwood 2 (+1); Taty 8 vs Havertz 4 (+4),Thiaw 1 vs Fofana -2 (+3); Calafiori 1 vs Mykolenko 2 (-1); Mainoo 2 vs Scott 0 (+2); Dewsbury-Hall 2 vs E.Le Fée 5 (-3); Raúl 1 vs Beto 1 (+0); Igor Jesus 2 vs Flemming 9 (-7)
